,Date,Open,High,Low,Close,Adj Close,Volume
0,2020-01-27,71.32,71.635002,71.32,71.324997,71.324997,0
1,2020-01-28,71.654999,71.654999,71.178001,71.440002,71.440002,0
2,2020-01-29,71.230103,71.425003,71.168503,71.2304,71.2304,0
3,2020-01-30,71.300003,71.711998,71.300003,71.300003,71.300003,0
4,2020-01-31,71.639999,71.639999,71.277496,71.639999,71.639999,0
5,2020-02-03,71.544998,71.699997,71.265503,71.496498,71.496498,0
6,2020-02-04,71.314102,71.514999,71.084999,71.314102,71.314102,0
7,2020-02-05,71.100403,71.279999,71.099899,71.099998,71.099998,0
8,2020-02-06,71.181,71.397499,71.121002,71.18,71.18,0
9,2020-02-07,71.470001,71.570999,71.177498,71.470001,71.470001,0
10,2020-02-10,71.504997,71.508003,71.259003,71.515503,71.515503,0
11,2020-02-11,71.470001,71.470001,71.171501,71.279999,71.279999,0
12,2020-02-12,71.275497,71.474998,71.064003,71.275299,71.275299,0
13,2020-02-13,71.296501,71.491898,71.235802,71.296204,71.296204,0
14,2020-02-14,71.268501,71.596001,71.256401,71.268501,71.268501,0
15,2020-02-17,71.5177,71.5177,71.268997,71.514801,71.514801,0
16,2020-02-18,71.349297,71.613503,71.330002,71.349197,71.349197,0
17,2020-02-19,71.790001,71.815002,71.420998,71.574997,71.574997,0
18,2020-02-20,71.632896,71.919502,71.547401,71.827499,71.827499,0
19,2020-02-21,72.110001,72.110001,71.669998,72.110001,72.110001,0
20,2020-02-24,71.870003,72.355003,71.766998,71.886803,71.886803,0
21,2020-02-25,72.0467,72.294998,71.593002,72.0467,72.0467,0
22,2020-02-26,71.870003,72.137497,71.525597,71.870003,71.870003,0
23,2020-02-27,71.663399,71.952499,71.535004,71.663399,71.663399,0
24,2020-02-28,71.93,72.815002,71.627502,71.93,71.93,0
25,2020-03-02,72.528999,73.387497,71.952499,72.150002,72.150002,0
26,2020-03-03,72.4235,73.599998,72.342499,72.824997,72.824997,0
27,2020-03-04,73.342003,74.037498,72.894997,73.342003,73.342003,0
28,2020-03-05,74.042503,74.080002,73.050003,74.042503,74.042503,0
29,2020-03-06,73.855103,74.440002,73.496498,73.855103,73.855103,0
30,2020-03-09,73.9953,75.0625,73.862503,73.9953,73.9953,0
31,2020-03-10,75.144997,75.144997,73.735497,74.405998,74.405998,0
32,2020-03-11,74.205002,74.404999,73.404503,74.205002,74.205002,0
33,2020-03-12,74.760002,75.379997,73.994499,74.760002,74.760002,0
34,2020-03-13,74.436096,75.434998,73.699501,75.300003,75.300003,0
35,2020-03-16,73.830002,75.122498,73.7575,73.903999,73.903999,0
36,2020-03-17,75.154999,75.154999,73.580002,75.154999,75.154999,0
37,2020-03-18,74.012398,74.989502,73.705002,74.012398,74.012398,0
38,2020-03-19,74.982002,75.571999,74.411003,74.982002,74.982002,0
39,2020-03-20,76.120003,76.230003,74.154999,75.159698,75.159698,0
40,2020-03-23,75.388496,77.754997,75.275002,75.622101,75.622101,0
41,2020-03-24,76.505997,77.75,75.012497,76.505997,76.505997,0
42,2020-03-25,77.260002,77.474998,75.849998,77.260002,77.260002,0
43,2020-03-26,77.095001,77.095001,74.769501,75.845497,75.845497,0
44,2020-03-27,74.725601,76.25,73.989998,74.725601,74.725601,0
45,2020-03-30,75.464996,76.379997,74.989998,75.464996,75.464996,0
46,2020-03-31,75.400101,76.482498,75.134499,75.400002,75.400002,0
47,2020-04-01,76.110001,77.377602,75.324997,75.324997,75.324997,0
48,2020-04-02,76.585503,77.57,76.010002,77.57,77.57,0
49,2020-04-03,77.139999,77.504997,75.75,77.139999,77.139999,0
50,2020-04-06,76.230003,77.379997,75.904503,76.230003,76.230003,0
51,2020-04-07,75.964897,77.114998,75.251999,75.964897,75.964897,0
52,2020-04-08,76.660004,77.199997,75.572502,76.660004,76.660004,0
53,2020-04-09,75.959,77.199997,75.747498,75.959,75.959,0
54,2020-04-10,76.650002,76.68,75.807503,76.650002,76.650002,0
55,2020-04-13,76.166496,76.952499,75.9925,76.166496,76.166496,0
56,2020-04-14,76.910004,76.962502,75.939499,76.910004,76.910004,0
57,2020-04-15,75.931,76.709503,75.921303,75.931,75.931,0
58,2020-04-16,76.500099,77.510002,76.472,77.212502,77.212502,0
59,2020-04-17,76.858902,77.57,76.247002,77.57,77.57,0
60,2020-04-20,76.559998,77.315002,76.311302,76.559998,76.559998,0
61,2020-04-21,76.5924,77.614998,76.4963,77.209999,77.209999,0
